Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Inputs | Analog 1,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
20:24.0,15.9,15.9,0.83,0.05,554,4.5,0,0
20:24.1,15.9,15.9,0.83,0.05,553,4.5,0,0
20:24.2,15.9,15.9,0.83,0.04,552,4.6,0.008,0
20:24.8,15.9,15.9,0.83,0.05,551,4.6,0.03,0
20:25.0,15.9,15.9,0.83,0.04,550,4.5,0,0
20:25.5,15.9,15.9,0.83,0.05,551,4.5,0,0
20:25.8,15.9,15.9,0.83,0.04,554,4.6,0,0
20:25.9,15.9,15.9,0.83,0.05,554,4.6,0.044,0
20:26.0,15.9,15.9,0.83,0.05,554,4.7,0,0
20:26.4,15.9,15.9,0.83,0.05,557,4.7,0.044,0
20:26.9,15.9,15.9,0.83,0.05,562,4.8,0.079,0
20:27.2,15.9,15.9,0.83,0.05,564,4.6,0.039,0
20:27.3,15.9,15.9,0.83,0.04,565,4.7,0.022,0
20:27.4,15.9,15.9,0.83,0.04,567,4.7,0,0
20:27.5,15.9,15.9,0.83,0.05,567,4.6,0,0
20:28.0,15.9,15.9,0.83,0.04,568,4.6,0.017,0
20:28.6,15.9,15.9,0.83,0.05,568,4.8,0,0
20:28.7,15.9,15.9,0.83,0.05,568,4.7,0,0
20:28.8,15.9,15.9,0.83,0.05,567,4.6,0,0
20:29.5,15.9,15.9,0.83,0.05,565,4.8,0.035,0
20:29.9,15.9,15.9,0.83,0.04,563,4.6,0.039,0
20:30.0,15.9,15.9,0.83,0.04,563,4.7,0.048,0
20:30.0,15.9,15.9,0.83,0.04,563,4.6,0,0
20:30.3,15.9,15.9,0.83,0.05,560,4.7,0.07,0
20:30.4,15.9,15.9,0.83,0.05,560,4.7,0,0
20:30.5,15.9,15.9,0.83,0.05,561,4.7,0,0
20:30.6,15.9,15.9,0.83,0.05,558,4.5,0.017,0
20:30.8,15.9,15.9,0.83,0.05,556,4.6,0.022,0
20:30.9,0,0,0.28,0.04,553,4.3,0,0
20:31.6,0,0,0.28,0.05,504,3.9,0.044,0
20:32.0,0,0,0.28,0.05,476,3.4,0,0
20:32.1,0,0,0.28,0.05,456,2.9,0,0
20:32.4,0,0,0.28,0.04,413,2.5,0.039,0
20:32.6,0,0,0.28,0.04,390,2.4,0,0
20:33.0,0,0,0.28,0.05,328,1.8,0,0
20:33.2,0,0,0.28,0.04,303,1.6,0,0
20:33.4,0,0,0.28,0.05,276,1.4,0,0
20:33.7,0,0,0.28,0.05,229,1.1,0,0
20:33.8,0,0,0.28,0.05,212,1,0,0
20:33.9,0,0,0.28,0.05,205,0.9,0,0
20:34.1,0,0,0.28,0.05,185,0.8,0,0
20:34.4,0,0,0.28,0.05,146,0.6,0,0
20:34.5,0,0,0.28,0.05,137,0.5,0,0
20:34.7,0,0,0.28,0.04,119,0.4,0,0
20:34.9,0,0,0.28,0.04,103,0.4,0,0
20:35.0,0,0,0.28,0.04,95,0.3,0,0
20:35.1,0,0,0.28,0.05,89,0.3,0,0
20:35.2,0,0,0.28,0.04,82,0.3,0,0
