Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Inputs | Analog 1,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
22:27.1,36.6,36.6,1.98,0.05,1265,10.5,0,36.2
22:27.3,36.6,36.6,1.98,0.05,1267,10.5,0,36.41
22:27.7,36.6,36.6,1.98,0.05,1275,10.8,0,36.72
22:27.8,36.6,36.6,1.98,0.04,1280,10.9,0.11,36.9
22:27.9,36.6,36.6,1.98,0.05,1281,10.8,0,37.01
22:28.0,36.6,36.7,1.98,0.05,1285,10.8,0.11,37.09
22:28.1,36.6,36.6,1.98,0.05,1285,10.8,0,37.19
22:28.4,36.6,36.7,1.98,0.04,1292,10.7,0,37.5
22:28.7,36.6,36.6,1.98,0.05,1297,10.9,0.039,37.78
22:28.8,36.6,36.6,1.98,0.04,1300,10.8,0.044,37.86
22:28.9,36.6,36.6,1.98,0.05,1299,10.9,0.061,37.95
22:29.0,36.7,36.7,1.98,0.04,1303,10.9,0.07,38.04
22:29.5,36.7,36.7,1.98,0.05,1308,11,0.075,38.54
22:30.1,36.7,36.7,1.98,0.05,1310,10.7,0,39.19
22:30.2,36.7,36.7,1.98,0.05,1309,11,0.079,39.3
22:30.3,36.7,36.7,1.98,0.05,1309,10.7,0,39.38
22:30.5,36.7,36.7,1.98,0.05,1307,10.7,0,39.59
22:30.6,36.7,36.7,1.98,0.05,1307,10.9,0.07,39.68
22:31.1,36.7,36.6,1.98,0.05,1300,10.8,0.084,40.2
22:31.2,36.7,36.6,1.98,0.05,1300,10.7,0.035,40.29
22:31.3,36.7,36.7,1.98,0.05,1297,10.7,0.075,40.38
22:31.4,36.7,36.7,1.98,0.05,1295,10.5,0,40.51
22:31.5,36.7,36.7,1.98,0.05,1293,10.8,0.101,40.6
22:31.6,36.7,36.7,1.98,0.05,1291,10.5,0,40.69
22:31.7,36.7,36.7,1.98,0.04,1288,10.7,0.079,40.78
22:31.8,36.7,36.7,1.98,0.05,1285,10.3,0,40.87
22:32.3,36.6,36.6,1.98,0.04,1271,10.7,0.119,41.36
22:32.4,36.7,36.6,1.98,0.05,1271,10.5,0,41.46
22:32.5,36.6,36.6,1.98,0.05,1271,10.7,0.079,41.55
22:32.6,36.7,36.7,1.98,0.04,1271,10.4,0,41.66
22:32.7,36.6,36.6,1.98,0.05,1271,11,0.172,41.74
22:33.3,36.6,36.6,1.98,0.05,1295,11,0.092,42.34
22:33.5,36.7,36.7,1.98,0.04,1297,10.7,0,42.56
22:33.6,36.7,36.6,1.98,0.04,1295,10.7,0,42.65
22:33.7,36.7,36.7,1.98,0.05,1294,10.4,0,42.76
22:33.8,36.7,36.6,1.98,0.04,1288,10.5,0,42.84
22:34.3,36.6,36.6,1.98,0.05,1251,9.9,0,43.33
22:34.4,36.6,36.6,1.98,0.04,1242,10,0,43.43
22:35.0,36.6,36.6,1.98,0.05,1216,10,0.11,44.02
22:35.1,36.6,36.6,1.98,0.05,1217,10.1,0.079,44.13
22:35.3,36.6,36.6,1.98,0.05,1217,10.1,0.066,44.33
22:35.4,36.6,36.6,1.98,0.05,1216,10.2,0.048,44.42
22:36.0,36.6,36.6,1.98,0.05,1232,10.5,0.128,45.07
22:36.2,36.6,36.6,1.98,0.04,1237,10.6,0.132,45.27
22:36.3,36.6,36.6,1.98,0.05,1241,10.4,0,45.36
22:36.4,36.6,36.6,1.98,0.05,1244,10.7,0.128,45.45
22:36.5,36.6,36.6,1.98,0.05,1247,10.4,0,45.55
22:36.6,36.6,36.6,1.98,0.05,1251,10.8,0.141,45.65
22:36.7,36.6,36.6,1.98,0.04,1254,10.5,0,45.74
22:36.8,36.6,36.6,1.98,0.04,1258,10.8,0.132,45.84
22:37.2,36.6,36.6,1.98,0.05,1276,10.7,0,46.28
22:37.3,36.6,36.6,1.98,0.05,1279,11.1,0.026,46.39
22:37.5,36.6,36.6,1.98,0.04,1285,10.8,0,46.5
22:37.6,36.6,36.6,1.98,0.05,1291,11.1,0.07,46.6
22:37.7,36.6,36.6,1.98,0.04,1293,10.9,0,46.69
22:37.8,0,0,0.28,0.04,1298,11,0.088,46.8
22:38.2,0,0,0.28,0.04,1278,10.5,0,47.22
22:38.3,0,0,0.28,0.05,1271,10.1,0,47.33
22:38.4,0,0,0.28,0.05,1267,10.5,0.101,47.42
22:38.5,0,0,0.28,0.05,1263,10.3,0.061,47.54
22:38.6,0,0,0.28,0.05,1255,9.8,0,47.64
22:38.7,0,0,0.28,0.05,1248,10,0.137,47.72
22:38.8,0,0,0.28,0.05,1236,9.5,0,47.82
22:38.9,0,0,0.28,0.04,1225,9.5,0,47.92
22:39.0,0,0,0.28,0.05,1212,9.1,0,48.02
22:39.4,0,0,0.28,0.04,1137,8.2,0,48.47
22:39.7,0,0,0.28,0.05,1089,7.9,0,48.72
22:39.8,0,0,0.28,0.05,1064,8,0.128,48.83
22:39.9,0,0,0.28,0.05,1053,7.5,0,48.92
22:40.0,0,0,0.28,0.04,1033,7.5,0.03,49.01
22:40.5,0,0,0.28,0.05,922,6.6,0,49.58
22:40.6,0,0,0.28,0.05,904,6.5,0,49.67
22:40.7,0,0,0.28,0.05,888,6.4,0,49.77
22:40.8,0,0,0.28,0.05,868,6,0,49.86
22:41.1,0,0,0.28,0.05,828,5.8,0,50.11
22:41.4,0,0,0.28,0.05,768,5.4,0,50.4
22:41.8,0,0,0.28,0.05,703,4.9,0.022,50.78
22:42.1,0,0,0.28,0.04,639,4.2,0,51.1
22:42.2,0,0,0.28,0.04,628,4.2,0,51.2
22:42.3,0,0,0.28,0.04,611,4.1,0,51.28
22:42.4,0,0,0.28,0.04,595,3.9,0,51.38
22:42.5,0,0,0.28,0.05,571,3.6,0,51.5
22:42.6,0,0,0.28,0.05,554,3.5,0,51.6
22:43.3,0,0,0.28,0.04,432,2.6,0,52.12
22:43.4,0,0,0.28,0.04,421,2.5,0,52.12
22:43.5,0,0,0.28,0.05,405,2.4,0,52.12
22:44.1,0,0,0.28,0.05,295,1.5,0,52.12
22:44.3,0,0,0.28,0.05,271,1.4,0,52.12
22:44.6,0,0,0.28,0.05,231,1.1,0,52.12
22:44.6,0,0,0.28,0.04,222,1.1,0,52.12
22:44.7,0,0,0.28,0.05,214,1,0,52.12
22:44.9,0,0,0.28,0.05,194,0.9,0,52.12
22:44.9,0,0,0.28,0.05,187,0.9,0,52.12
22:45.4,0,0,0.28,0.05,139,0.6,0,52.12
22:47.0,0,0,0.28,0.04,33,0,0,52.12
22:47.1,0,0,0.28,0.05,29,0,0,52.12
22:47.2,0,0,0.28,0.05,25,0,0,52.12
22:49.9,0,0,0.28,0.05,0,0,0,52.12
22:50.0,0,0,0.28,0.05,0,0,0,52.12
22:50.1,0,0,0.29,0.05,0,0,0,52.12
22:50.2,0,0,0.28,0.05,0,0,0,52.12
22:50.3,0,0,0.28,0.05,0,0,0,52.12
22:50.4,0,0,0.28,0.04,0,0,0,52.12
22:50.7,0,0,0.28,0.05,0,0,0,52.12
22:50.9,0,0,0.28,0.05,0,0,0,52.12
