Topic:,/fixposition/fpa/odomenu
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,acc_x,acc_y,acc_z,fusion_status,imu_bias_status,gnss1_status,gnss2_status,wheelspeed_status
1770803067.9412897,34.0884,3.2342,-0.9884,0.004329,-0.002442,0.076385,-0.997066,0.0008,-0.0006,-0.0001,0.0012,-0.00246,-0.00019,-0.0511,-0.0902,9.8198,4,1,1,1,-1
1770803067.9914565,34.0884,3.2342,-0.9884,0.004329,-0.002442,0.076385,-0.997066,0.0008,-0.0006,-0.0001,-0.00031,0.0021,0.00059,-0.0441,-0.0925,9.8129,4,1,1,1,-1
1770803068.041328,34.0884,3.2342,-0.9884,0.004329,-0.002442,0.076385,-0.997066,0.0008,-0.0006,-0.0001,-0.0006,-0.00164,-5e-05,-0.0442,-0.0882,9.8086,4,1,1,1,-1
1770803068.0925252,34.0884,3.2342,-0.9884,0.004329,-0.002442,0.076385,-0.997066,0.0008,-0.0006,-0.0001,4e-05,-0.00083,0.00017,-0.0504,-0.0872,9.8088,4,1,1,1,-1
1770803068.1399395,34.0884,3.2342,-0.9884,0.004329,-0.002442,0.076385,-0.997066,0.0008,-0.0006,-0.0001,0.00096,-0.00202,-0.00031,-0.0485,-0.0947,9.8065,4,1,1,1,-1
1770803068.1899772,34.0888,3.2341,-0.9885,0.00428,-0.002366,0.076364,-0.997068,0.0017,-0.0003,-0.0003,-0.00015,0.00193,-0.0002,-0.0412,-0.0913,9.8104,4,1,1,1,-1
1770803068.240315,34.0888,3.2341,-0.9885,0.00428,-0.002366,0.076364,-0.997068,0.0017,-0.0003,-0.0003,-0.00184,0.00419,0.00059,-0.0294,-0.0877,9.8068,4,1,1,1,-1
1770803068.2895226,34.0888,3.2341,-0.9885,0.00428,-0.002366,0.076364,-0.997068,0.0017,-0.0003,-0.0003,0.0,-0.00014,9e-05,-0.0356,-0.0932,9.8132,4,1,1,1,-1
1770803068.340534,34.0888,3.2341,-0.9885,0.00428,-0.002366,0.076364,-0.997068,0.0017,-0.0003,-0.0003,-9e-05,0.00164,0.00052,-0.0372,-0.0975,9.8072,4,1,1,1,-1
1770803068.3906822,34.0888,3.2341,-0.9885,0.00428,-0.002366,0.076364,-0.997068,0.0017,-0.0003,-0.0003,-0.00068,0.001,0.00024,-0.0416,-0.0966,9.8102,4,1,1,1,-1
1770803068.4426413,34.0889,3.2341,-0.9885,0.004258,-0.002331,0.07635,-0.997069,0.0001,-0.0005,0.0,-0.00142,0.00247,-6e-05,-0.0369,-0.0938,9.8072,4,1,1,1,-1
1770803068.490726,34.0889,3.2341,-0.9885,0.004258,-0.002331,0.07635,-0.997069,0.0001,-0.0005,0.0,0.00057,-0.00059,-0.00021,-0.0367,-0.0924,9.8182,4,1,1,1,-1
1770803068.5469995,34.0889,3.2341,-0.9885,0.004258,-0.002331,0.07635,-0.997069,0.0001,-0.0005,0.0,0.00087,-0.00075,5e-05,-0.0377,-0.0994,9.8042,4,1,1,1,-1
1770803068.5926979,34.0889,3.2341,-0.9885,0.004258,-0.002331,0.07635,-0.997069,0.0001,-0.0005,0.0,0.00087,-0.00052,6e-05,-0.0315,-0.0913,9.8145,4,1,1,1,-1
1770803068.6408632,34.0889,3.2341,-0.9885,0.004258,-0.002331,0.07635,-0.997069,0.0001,-0.0005,0.0,0.00124,-0.00206,-0.00015,-0.0351,-0.0901,9.8098,4,1,1,1,-1
1770803068.6909459,34.0888,3.2341,-0.9885,0.004253,-0.002367,0.076342,-0.99707,0.0004,-0.0003,0.0002,-0.00073,-0.0001,-0.0004,-0.0423,-0.0883,9.806,4,1,1,1,-1
1770803068.75057,34.0888,3.2341,-0.9885,0.004253,-0.002367,0.076342,-0.99707,0.0004,-0.0003,0.0002,-0.00157,0.00392,0.0002,-0.0531,-0.0847,9.8109,4,1,1,1,-1
1770803068.7913876,34.0888,3.2341,-0.9885,0.004253,-0.002367,0.076342,-0.99707,0.0004,-0.0003,0.0002,0.00049,-0.0003,0.00019,-0.0331,-0.0859,9.805,4,1,1,1,-1
1770803068.8444872,34.0888,3.2341,-0.9885,0.004253,-0.002367,0.076342,-0.99707,0.0004,-0.0003,0.0002,0.00122,-0.00197,-0.00015,-0.0402,-0.0896,9.8131,4,1,1,1,-1
1770803068.8918836,34.0888,3.2341,-0.9885,0.004253,-0.002367,0.076342,-0.99707,0.0004,-0.0003,0.0002,0.00107,-0.00066,1e-05,-0.0339,-0.0883,9.8054,4,1,1,1,-1
1770803068.9416063,34.0888,3.2341,-0.9885,0.004253,-0.002367,0.076342,-0.99707,0.0004,-0.0003,0.0002,-0.00099,0.00279,0.00021,-0.0378,-0.0961,9.8166,4,1,1,1,-1
1770803068.9924052,34.0886,3.2341,-0.9885,0.004251,-0.002312,0.076348,-0.99707,0.0,-0.0003,0.0001,-0.00033,-0.00146,-0.00045,-0.0415,-0.0853,9.8089,4,1,1,1,-1
1770803069.0424516,34.0886,3.2341,-0.9885,0.004251,-0.002312,0.076348,-0.99707,0.0,-0.0003,0.0001,0.00229,-0.00462,3e-05,-0.0417,-0.0901,9.8162,4,1,1,1,-1
1770803069.0893965,34.0886,3.2341,-0.9885,0.004251,-0.002312,0.076348,-0.99707,0.0,-0.0003,0.0001,-0.00118,0.00164,9e-05,-0.0489,-0.0983,9.8046,4,1,1,1,-1
1770803069.1399038,34.0886,3.2341,-0.9885,0.004251,-0.002312,0.076348,-0.99707,0.0,-0.0003,0.0001,-0.00051,3e-05,0.00039,-0.0564,-0.094,9.8096,4,1,1,1,-1
1770803069.1903346,34.0886,3.2341,-0.9885,0.004251,-0.002312,0.076348,-0.99707,0.0,-0.0003,0.0001,-0.00026,-0.00134,0.0,-0.0539,-0.0853,9.8136,4,1,1,1,-1
1770803069.24007,34.0888,3.2341,-0.9885,0.004245,-0.002351,0.076344,-0.99707,0.0004,-0.0005,0.0003,0.0008,-0.00346,-0.00027,-0.0506,-0.0894,9.8124,4,1,1,1,-1
1770803069.2921922,34.0888,3.2341,-0.9885,0.004245,-0.002351,0.076344,-0.99707,0.0004,-0.0005,0.0003,-5e-05,0.00021,0.00016,-0.0427,-0.0942,9.8095,4,1,1,1,-1
1770803069.3401146,34.0888,3.2341,-0.9885,0.004245,-0.002351,0.076344,-0.99707,0.0004,-0.0005,0.0003,0.00245,-0.00212,-0.00025,-0.0458,-0.0947,9.8142,4,1,1,1,-1
1770803069.391511,34.0888,3.2341,-0.9885,0.004245,-0.002351,0.076344,-0.99707,0.0004,-0.0005,0.0003,0.00052,0.00092,-0.00016,-0.0417,-0.0907,9.8124,4,1,1,1,-1
1770803069.4405396,34.0888,3.2341,-0.9885,0.004245,-0.002351,0.076344,-0.99707,0.0004,-0.0005,0.0003,-0.00096,0.00475,0.00048,-0.0373,-0.097,9.803,4,1,1,1,-1
1770803069.4964528,34.0888,3.2341,-0.9885,0.004245,-0.002351,0.076344,-0.99707,0.0004,-0.0005,0.0003,-8e-05,-0.00023,-0.00066,-0.0383,-0.0887,9.8187,4,1,1,1,-1
