Topic:,/fixposition/fpa/corrimu
time,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z
1770803082.0275233,0.001292,0.000851,-0.000603,-0.000491,-0.076059,9.798453
1770803082.0297234,0.001825,-0.001014,-0.000869,-0.014856,-0.089227,9.80803
1770803082.036427,0.002357,-0.006606,-0.001135,-0.042391,-0.103593,9.816409
1770803082.0403745,0.001292,-0.003411,-7e-05,-0.057952,-0.098804,9.825986
1770803082.0465038,0.001825,-0.002079,-7e-05,-0.041192,-0.090424,9.810424
1770803082.0551777,0.00076,0.001383,-7e-05,-0.028024,-0.085636,9.798453
1770803082.0644467,0.002624,0.001383,0.000462,-0.03401,-0.102395,9.797256
1770803082.0652204,-0.000838,0.001916,0.000196,-0.036404,-0.095213,9.802044
1770803082.0653372,0.000493,0.000584,0.000196,-0.035207,-0.090424,9.815213
1770803082.072371,-0.001904,5.2e-05,0.000196,-0.014856,-0.097607,9.818804
1770803082.0750237,0.001559,-0.005807,-0.001135,-0.04239,-0.092819,9.811621
1770803082.0809095,0.002091,-0.003411,0.000196,-0.045981,-0.08803,9.816409
1770803082.085773,0.001292,-0.004742,0.000462,-0.031616,-0.091622,9.80803
1770803082.0919757,0.00076,0.000584,-7e-05,-0.039995,-0.09641,9.792468
1770803082.0949044,0.002091,5.2e-05,0.000462,-0.028024,-0.092818,9.804439
1770803082.1006577,0.004488,-0.00128,-0.000337,-0.028024,-0.094016,9.80803
1770803082.1099093,0.00289,-0.002345,0.000462,-0.03401,-0.094016,9.817607
1770803082.1105638,-0.000572,0.003247,0.000462,-0.036404,-0.108381,9.822395
1770803082.118366,0.000493,-0.001546,0.000196,-0.029221,-0.09641,9.820001
1770803082.1208985,0.00076,-0.000747,0.000196,-0.020841,-0.100001,9.803241
1770803082.1262336,-0.000838,0.002448,-0.000603,-0.029221,-0.085636,9.798453
1770803082.1320035,0.000493,0.000318,-7e-05,-0.055557,-0.091621,9.80803
1770803082.135876,0.001026,-0.001813,-0.000337,-0.055558,-0.095213,9.802044
1770803082.1420786,0.001825,-0.000481,0.000729,-0.030418,-0.092818,9.812818
1770803082.1460218,0.000227,-0.000215,0.000196,-0.031615,-0.094016,9.829578
1770803082.1540802,0.00076,0.000318,-7e-05,-0.018447,-0.094016,9.805636
1770803082.15806,0.001559,-0.000215,-7e-05,-0.03401,-0.101198,9.79965
1770803082.1646645,0.00076,-0.001014,0.000196,-0.056755,-0.104789,9.796059
1770803082.1660907,-3.9e-05,-0.001546,-0.000337,-0.045981,-0.092818,9.811621
1770803082.1734285,0.000493,0.000584,0.000196,-0.022039,-0.095213,9.809227
1770803082.1761599,0.002357,-0.002612,-0.000603,-0.006477,-0.084439,9.816409
1770803082.1812475,0.001026,0.00085,-7e-05,-0.022039,-0.094016,9.808029
1770803082.1864796,-3.9e-05,-0.002079,-7e-05,-0.056755,-0.085636,9.809226
1770803082.1920254,0.002091,-0.002878,-0.001135,-0.060346,-0.090425,9.793664
1770803082.196765,-0.000306,-0.002612,-0.000337,-0.037601,-0.101198,9.808029
1770803082.2025173,0.001825,0.000318,-0.000603,-0.002885,-0.097607,9.79965
1770803082.2067335,0.002091,0.001649,-0.000869,-0.011265,-0.089227,9.809226
1770803082.211797,-3.9e-05,-0.000215,0.000462,-0.057952,-0.101198,9.811621
1770803082.2165058,0.00076,-0.001546,-0.000337,-0.065134,-0.098804,9.815212
1770803082.2231736,-0.001904,0.002981,0.000729,-0.043587,-0.097607,9.818803
1770803082.2269335,-0.000306,0.000584,-0.001135,0.0031,-0.091621,9.809227
1770803082.232068,0.00076,0.004313,0.000462,-0.000492,-0.085636,9.792467
1770803082.2371411,-0.003235,0.00085,-7e-05,-0.05436,-0.094016,9.810423
1770803082.2445734,-0.000306,-0.00128,-0.000337,-0.078303,-0.100001,9.818803
1770803082.2483726,-0.001637,0.002981,-7e-05,-0.045981,-0.09641,9.82
1770803082.252308,0.002624,-0.006606,-0.001135,-0.002887,-0.089228,9.815211
1770803082.2581,0.000227,0.003514,-7e-05,0.01148,-0.095213,9.803241
1770803082.2669613,0.001026,-0.001014,0.000462,-0.03401,-0.100001,9.814015
1770803082.2687054,-0.001105,-0.001014,0.000196,-0.084288,-0.105987,9.823592
1770803082.2725747,-0.001904,-0.001014,0.000729,-0.072317,-0.102395,9.812818
1770803082.2778416,-0.000306,0.001916,0.000196,-0.020842,-0.072468,9.811621
1770803082.2824616,0.00076,0.004313,0.000729,-0.000492,-0.082044,9.800847
1770803082.2875836,0.001292,-0.001813,-0.000337,-0.018448,-0.082045,9.810424
1770803082.2956817,0.002091,-0.005541,-0.000603,-0.072318,-0.09641,9.81162
1770803082.2989676,-0.001904,-0.000215,-0.000337,-0.083091,-0.089227,9.802044
1770803082.303203,-0.002436,5.2e-05,-0.000337,-0.038798,-0.100001,9.809226
1770803082.3075607,0.001825,-0.000215,0.000462,0.012677,-0.101198,9.816409
1770803082.3130045,0.003955,-0.004476,0.000196,-0.011265,-0.092819,9.805635
1770803082.321727,-0.000306,5.2e-05,0.000462,-0.043587,-0.080848,9.823592
1770803082.3232765,0.001026,-0.004476,-0.000603,-0.060347,-0.090424,9.809226
1770803082.3307512,-0.002436,0.00085,-7e-05,-0.05436,-0.086833,9.806832
1770803082.3331628,-0.001371,0.002182,-0.000603,-0.014856,-0.076059,9.793664
1770803082.3382223,-0.000572,0.001649,-7e-05,-0.01725,-0.082045,9.808029
1770803082.3434315,-3.9e-05,-0.00128,0.000196,-0.041192,-0.097607,9.806832
1770803082.348327,-0.000838,0.001649,-7e-05,-0.055558,-0.097607,9.824789
1770803082.3538654,0.00076,-0.001546,-0.000337,-0.048375,-0.095213,9.816409
1770803082.362742,0.001559,0.001383,0.000729,-0.026827,-0.105987,9.808029
1770803082.3725204,-0.002703,0.008041,0.000729,-0.025632,-0.102396,9.791269
1770803082.3725905,-0.002436,0.003247,-0.000603,-0.036404,-0.097607,9.815212
1770803082.3733566,-0.001105,0.001383,0.000196,-0.038798,-0.100001,9.811621
1770803082.380652,0.001825,-0.003677,-7e-05,-0.049572,-0.092819,9.82
1770803082.3845086,-0.000306,0.000318,0.000462,-0.019645,-0.094016,9.817606
1770803082.3887038,0.000227,-0.002345,0.000196,-0.001688,-0.092819,9.809226
1770803082.3950784,-0.003768,0.004845,0.000729,-0.026828,-0.095213,9.80324
1770803082.3996625,-3.9e-05,0.001916,-7e-05,-0.037601,-0.094016,9.800847
1770803082.4052377,-0.000306,-0.00128,-0.000337,-0.053163,-0.09641,9.821198
1770803082.409125,-0.000838,0.001117,-0.000337,-0.042389,-0.095213,9.811621
1770803082.4140584,-0.002703,0.006443,0.000995,-0.031617,-0.103593,9.812817
1770803082.419712,-0.001904,0.004046,0.000462,-0.028025,-0.097607,9.82
1770803082.425087,-0.000572,-0.002345,-0.001402,-0.036404,-0.091621,9.803241
1770803082.4292345,-3.9e-05,-0.001014,0.000729,-0.050769,-0.10479,9.811621
1770803082.434621,-0.002436,0.001117,-0.000869,-0.050769,-0.092819,9.796058
1770803082.4401028,-0.001371,0.000584,-7e-05,-0.026827,-0.09641,9.808029
1770803082.44831,0.003156,-0.006074,-0.000336,-0.007675,-0.079651,9.816408
1770803082.4495013,0.000759,0.002448,0.000462,-0.023236,-0.085636,9.818803
1770803082.4559517,-0.001105,-0.002612,-7e-05,-0.05077,-0.095213,9.816409
1770803082.4613752,-0.000572,0.001383,0.000196,-0.060346,-0.085636,9.799649
1770803082.472231,-0.000572,-0.004742,-0.001135,-0.038799,-0.091621,9.792466
1770803082.4723158,0.000493,0.00085,-0.000869,-0.019645,-0.09641,9.812818
1770803082.4756753,0.000227,5.1e-05,-7e-05,-0.014856,-0.094016,9.804438
1770803082.480301,0.000759,0.002182,0.000196,-0.028025,-0.107184,9.835562
1770803082.4854188,-3.9e-05,0.001649,-0.000336,-0.049572,-0.089227,9.821197
1770803082.4897552,-0.003235,0.004579,0.000196,-0.053164,-0.092819,9.814014
1770803082.4985728,-0.001637,-0.000748,-0.000603,-0.032813,-0.103593,9.812818
1770803082.501646,0.001026,-0.002612,0.000196,-0.014857,-0.090425,9.799649
1770803082.5062535,-3.9e-05,0.001117,0.000196,-0.020842,-0.086833,9.802044
1770803082.5104191,-0.000572,-0.000748,-0.000336,-0.036404,-0.080848,9.810423
1770803082.5151832,0.001026,0.000584,0.000196,-0.060346,-0.089227,9.812818
1770803082.5211608,-0.003768,0.005111,-7e-05,-0.065135,-0.103593,9.816408
1770803082.525178,0.000493,-0.003144,0.000196,-0.029222,-0.091622,9.814014
