Topic:,/fixposition/poiimu
time,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z
1770803078.1420517,0.00038,-0.00058,0.00035,-0.0235,-0.1027,9.7984
1770803078.1966202,-0.00039,-0.00122,9e-05,-0.0377,-0.1014,9.8164
1770803078.2464283,-0.00033,0.00177,4e-05,-0.0299,-0.0922,9.811
1770803078.2972698,-0.00211,0.00151,-3e-05,-0.0401,-0.0965,9.8112
1770803078.3404653,-0.00102,0.00146,0.00049,-0.0342,-0.101,9.8047
1770803078.395579,0.00188,-0.00388,-0.00049,-0.0329,-0.0987,9.8109
1770803078.440957,0.0007,0.00026,0.00017,-0.0468,-0.087,9.8178
1770803078.4900656,0.0001,0.00085,0.00029,-0.0301,-0.1002,9.8035
1770803078.5448074,-0.00202,0.00317,0.00043,-0.0362,-0.0973,9.8165
1770803078.5941145,-0.00057,-0.00026,-4e-05,-0.0353,-0.0918,9.8132
1770803078.6442301,0.00112,-0.00088,-0.0003,-0.0343,-0.0918,9.8124
1770803078.6937773,0.00014,-0.00117,6e-05,-0.0338,-0.098,9.8267
1770803078.7456434,-0.00053,0.00222,6e-05,-0.038,-0.092,9.8112
1770803078.7914824,-0.00069,0.00123,0.00024,-0.0339,-0.0922,9.8102
1770803078.840721,-0.0002,0.00074,0.00026,-0.0358,-0.0986,9.8116
1770803078.8942955,0.00083,-0.00282,0.0001,-0.0359,-0.0959,9.8047
1770803078.9416163,0.00121,-0.00311,-0.00014,-0.0375,-0.0866,9.81
1770803078.9930706,-0.00054,0.00073,-0.0001,-0.0474,-0.1018,9.785
1770803079.0450997,0.00065,-0.00068,5e-05,-0.0379,-0.0967,9.817
1770803079.0932693,-0.00321,0.00671,0.00037,-0.0331,-0.0988,9.8072
1770803079.1431155,-0.00032,-0.00046,-0.00028,-0.0333,-0.0913,9.8008
1770803079.1960108,0.00106,-0.00299,0.00023,-0.0292,-0.0983,9.8132
1770803079.243603,0.00161,-0.00155,-0.00017,-0.0354,-0.1037,9.8153
1770803079.298793,-0.00036,0.00016,0.0001,-0.0284,-0.0912,9.8081
1770803079.344259,0.00067,0.00015,0.00039,-0.0194,-0.1036,9.7989
1770803079.3957958,-0.00044,0.00216,0.00061,-0.0182,-0.0953,9.803
