Topic:,/fixposition/fpa/odomenu
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,acc_x,acc_y,acc_z,fusion_status,imu_bias_status,gnss1_status,gnss2_status,wheelspeed_status
1771241285.5446754,310.6672,176.4903,-2.4029,0.003832,0.001837,-0.153442,-0.988148,3.6297,-0.0061,-0.0368,-0.01288,-0.05844,0.00151,-0.4582,0.2776,10.0738,4,1,8,8,-1
1771241285.5917547,310.8408,176.545,-2.4041,0.004251,0.002005,-0.153388,-0.988155,3.645,-0.0124,-0.0322,-0.014,-0.00843,-0.00178,-0.1598,0.0881,9.8845,4,1,8,8,-1
1771241285.668342,311.032,176.6132,-2.4044,0.004611,0.001688,-0.15341,-0.98815,3.6812,-0.0188,-0.0253,-0.00535,0.03593,0.00067,0.4191,-0.1158,10.01,4,1,8,8,-1
1771241285.7413533,311.3837,176.7217,-2.4062,0.004519,0.001465,-0.153595,-0.988123,3.6794,-0.0422,-0.0236,0.00813,-0.01036,0.00572,0.034,-0.3071,9.7729,4,1,7,8,-1
1771241285.8060143,311.5597,176.775,-2.4071,0.004164,0.001246,-0.15361,-0.988122,3.679,-0.0538,-0.0262,0.01488,0.02352,0.00104,0.3041,0.3594,9.4941,4,1,7,8,-1
1771241285.8417044,311.7355,176.8287,-2.4082,0.003991,0.001632,-0.153661,-0.988114,3.6792,-0.0391,-0.0302,0.0015,-0.01153,0.00119,0.6533,-0.1808,9.8649,4,1,7,8,-1
1771241285.8915036,311.9286,176.9003,-2.4056,0.004118,0.001667,-0.1537,-0.988108,3.7119,-0.0258,-0.0283,0.00031,0.02998,-0.00222,0.8738,-0.8236,10.3257,4,1,7,8,-1
1771241285.975579,312.1056,176.9551,-2.4065,0.00395,0.001707,-0.153718,-0.988105,3.696,-0.0236,-0.0204,0.00609,-0.04082,-0.00651,-0.0778,0.1004,9.7403,4,1,7,8,-1
1771241285.9920301,312.2812,177.0114,-2.4072,0.004126,0.001398,-0.153659,-0.988114,3.6891,-0.0044,-0.0072,-0.00823,-0.03273,-0.00268,-0.3086,0.1875,10.0598,4,1,7,8,-1
1771241286.0423102,312.4574,177.0672,-2.4074,0.00432,0.001757,-0.153608,-0.988121,3.7059,-0.0067,-0.0193,-0.00256,0.00677,-0.00136,0.3835,-0.2535,9.2614,4,1,7,8,-1
1771241286.1021333,312.6349,177.1213,-2.4061,0.004421,0.001491,-0.153691,-0.988108,3.7201,-0.0188,-0.0244,0.00153,0.01114,0.0016,-0.0897,-0.1218,9.5462,4,1,7,8,-1
1771241286.1415188,312.8126,177.1766,-2.407,0.004425,0.001332,-0.153711,-0.988105,3.7282,-0.0261,-0.0247,0.0022,0.03761,-0.00247,0.4222,-0.2904,9.816,4,1,7,8,-1
1771241286.191048,312.9904,177.2316,-2.4079,0.004333,0.001384,-0.153728,-0.988103,3.719,-0.0295,-0.0199,0.00343,0.00185,-0.00379,-0.1115,-0.3061,9.868,4,1,7,8,-1
